Código,Familia,Materia,Clasificacion,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
702,CRÍMENES Y SIMPLES DELITOS CONTRA LAS PERSONAS/2,Homicidio,Detenciones,10,14,8,11,10,10,8,9,6,5,7,11
703,CRÍMENES Y SIMPLES DELITOS CONTRA LAS PERSONAS/2,Homicidio calificado,Detenciones,2,3,0,3,2,2,0,3,2,0,1,1
705,CRÍMENES Y SIMPLES DELITOS CONTRA LAS PERSONAS/2,Homicidio en riña o pelea,Detenciones,4,2,3,1,2,1,4,2,1,1,4,0
706,CRÍMENES Y SIMPLES DELITOS CONTRA LAS PERSONAS/2,Auxilio al suicidio,Detenciones,0,0,0,0,1,0,0,1,0,0,0,0
707,CRÍMENES Y SIMPLES DELITOS CONTRA LAS PERSONAS/2,Infanticidio,Detenciones,0,0,0,0,1,0,0,1,0,0,0,0
709,CRÍMENES Y SIMPLES DELITOS CONTRA LAS PERSONAS/2,Lesiones graves,Detenciones,146,123,126,131,164,137,135,130,155,143,125,147
710,CRÍMENES Y SIMPLES DELITOS CONTRA LAS PERSONAS/2,Lesiones menos graves,Detenciones,273,255,304,263,279,259,247,258,283,240,251,274
715,CRÍMENES Y SIMPLES DELITOS CONTRA LAS PERSONAS/2,Calumnia,Detenciones,0,0,0,0,0,0,0,0,0,0,0,0
716,CRÍMENES Y SIMPLES DELITOS CONTRA LAS PERSONAS/2,Injuria,Detenciones,0,0,0,0,0,0,0,0,0,0,0,0
717,CRÍMENES Y SIMPLES DELITOS CONTRA LAS PERSONAS/2,Lesiones graves gravísimas,Detenciones,4,5,6,6,4,4,4,5,3,4,6,7
720,CRÍMENES Y SIMPLES DELITOS CONTRA LAS PERSONAS/2,Femicidio íntimo,Detenciones,2,0,1,3,1,2,2,5,1,1,2,3
721,CRÍMENES Y SIMPLES DELITOS CONTRA LAS PERSONAS/2,Tráfico de migrantes,Detenciones,3,0,7,0,0,3,3,0,1,5,1,1
